Cmpd,Conc,ks_pval,ks_stat,t_pval,t_stat,median_ratio,cell_count,Broad,is_cp_negcon,diff5,t_pval_adj,ks_pval_adj,t_pval_adj_neglog,ks_pval_adj_neglog,is_inhibitor
A649,1,0.00022,0.056,3.7e-05,-2.5,0.99,4.6e+03,0.6,FALSE,0.99,0.00012,0.00063,3.9,3.2,TRUE
A649,10,0.00028,0.062,0.21,-2.6,0.99,2.7e+03,0.6,FALSE,0.99,0.23,0.00074,0.63,3.1,TRUE
A885,1,1.6e-10,0.11,5.5e-10,10,1,5.4e+03,-0.41,FALSE,1,2.9e-09,8.9e-10,8.5,9.1,FALSE
A885,10,1.2e-14,0.095,4.1e-05,-3.3,0.97,3.7e+03,-0.41,FALSE,0.97,0.00013,8.9e-14,3.9,13,TRUE
K015,1,0.026,0.031,0.046,-1.4,1,5.2e+03,0.17,TRUE,1,0.076,0.037,1.1,1.4,TRUE
K015,10,1.1e-08,0.1,3.9e-10,-11,0.94,2.6e+03,0.17,TRUE,0.94,2.2e-09,4.8e-08,8.7,7.3,TRUE
K018,1,0.018,0.047,0.016,4.9,1,5.5e+03,-0.29,FALSE,1,0.034,0.028,1.5,1.6,FALSE
K018,10,0.003,0.059,0.12,-3.5,0.99,4.5e+03,-0.29,FALSE,0.99,0.16,0.0064,0.81,2.2,TRUE
K044,1,0.045,0.052,0.23,5.2,1,5.6e+03,0.58,FALSE,1,0.24,0.057,0.62,1.2,FALSE
K044,10,0.013,0.052,0.039,5.7,1,5.9e+03,0.58,FALSE,1,0.07,0.022,1.2,1.7,FALSE
K082,1,5.8e-05,0.064,0.00039,3.2,1,5.3e+03,0.58,FALSE,1,0.001,0.00017,3,3.8,FALSE
K082,10,1.5e-09,0.074,0.00017,-9,0.96,4.4e+03,0.58,FALSE,0.96,0.00046,7.5e-09,3.3,8.1,TRUE
K098,1,0.036,0.027,0.086,-0.68,1,5.4e+03,0.13,TRUE,1,0.12,0.05,0.92,1.3,TRUE
K098,10,0.048,0.033,0.15,-3.1,0.99,5e+03,0.13,TRUE,0.99,0.18,0.059,0.74,1.2,TRUE
K099,1,7.1e-07,0.092,7.8e-11,13,1.1,5.9e+03,0.62,FALSE,1.1,4.9e-10,2.7e-06,9.3,5.6,FALSE
K099,10,0,0.2,2.1e-135,32,1.1,7.9e+03,0.62,FALSE,1.1,7.2e-134,0,1.3e+02,Inf,FALSE
K160,1,0.037,0.039,0.15,-0.97,1,4.4e+03,0.076,TRUE,1,0.18,0.05,0.74,1.3,TRUE
K160,10,0.13,0.037,0.22,2.4,1,4.7e+03,0.076,TRUE,1,0.24,0.14,0.62,0.87,FALSE
K165,1,0.0028,0.078,0.039,9.9,1.1,5.7e+03,-0.51,FALSE,1.1,0.07,0.0062,1.2,2.2,FALSE
K165,10,0.042,0.052,0.18,2.8,1,5.2e+03,-0.51,FALSE,1,0.21,0.055,0.68,1.3,FALSE
K176,1,0.15,0.046,0.034,3.6,1,5.6e+03,-0.027,TRUE,1,0.065,0.16,1.2,0.79,FALSE
K176,10,0.17,0.052,0.078,-6.7,0.98,5.9e+03,-0.027,TRUE,0.98,0.12,0.18,0.93,0.76,TRUE
K177,1,0.15,0.025,0.22,1.3,1,5.6e+03,-0.36,FALSE,1,0.24,0.16,0.62,0.8,FALSE
K177,10,8.5e-06,0.081,0.17,-3.4,1,1.9e+03,-0.36,FALSE,1,0.19,2.9e-05,0.71,4.5,FALSE
K186,1,3e-07,0.079,1.1e-09,5.3,1,5.8e+03,0.6,FALSE,1,5.4e-09,1.2e-06,8.3,5.9,FALSE
K186,10,0,0.31,1.7e-142,-31,0.81,2e+03,0.6,FALSE,0.81,1.1e-140,0,1.4e+02,Inf,TRUE
K233,1,0.0011,0.045,0.031,3.2,1,4.8e+03,0.049,TRUE,1,0.061,0.0025,1.2,2.6,FALSE
K233,10,0.005,0.044,0.072,4.9,1,4.8e+03,0.049,TRUE,1,0.11,0.01,0.95,2,FALSE
K323,1,0.036,0.042,0.13,4.4,1,5e+03,0.058,TRUE,1,0.16,0.05,0.79,1.3,FALSE
K323,10,4.8e-05,0.054,7e-07,-6.6,0.97,4e+03,0.058,TRUE,0.97,2.8e-06,0.00015,5.6,3.8,TRUE
K381,1,0.0088,0.053,1.9e-05,-2.5,0.99,4.5e+03,-0.36,FALSE,1,6.4e-05,0.015,4.2,1.8,TRUE
K381,10,0.025,0.051,0.041,-6.5,0.97,4.6e+03,-0.36,FALSE,0.97,0.071,0.036,1.1,1.4,TRUE
K394,1,7.2e-08,0.092,2.6e-07,12,1.1,5.3e+03,0.042,TRUE,1.1,1.1e-06,3e-07,6,6.5,FALSE
K394,10,0.054,0.031,0.31,-0.65,1,5.1e+03,0.042,TRUE,1,0.31,0.064,0.51,1.2,TRUE
K430,1,6.1e-12,0.13,1.3e-12,18,1.1,5e+03,-0.41,FALSE,1.1,1.1e-11,4.1e-11,11,10,FALSE
K430,10,0,0.35,9.3e-120,-27,0.76,1.1e+03,-0.41,FALSE,0.76,2.1e-118,0,1.2e+02,Inf,TRUE
K448,1,4.4e-11,0.15,1e-07,22,1.1,7.2e+03,-0.43,FALSE,1.1,4.6e-07,2.7e-10,6.3,9.6,FALSE
K448,10,0,0.15,3.1e-42,20,1.1,7e+03,-0.43,FALSE,1.1,4.3e-41,0,40,Inf,FALSE
K490,1,0.0047,0.045,0.0024,-1.7,1,4.6e+03,0.58,FALSE,1,0.0058,0.0097,2.2,2,FALSE
K490,10,0,0.19,2.7e-45,-18,0.9,1.6e+03,0.58,FALSE,0.9,4.7e-44,0,43,Inf,TRUE
K495,1,0.2,0.05,0.13,4.6,1,4.9e+03,-0.46,FALSE,1,0.16,0.2,0.79,0.7,FALSE
K495,10,0.0016,0.048,0.00096,0.21,1,4.7e+03,-0.46,FALSE,1,0.0024,0.0036,2.6,2.4,FALSE
K515,1,0.047,0.075,0.13,9.8,1,5.9e+03,0.59,FALSE,1,0.16,0.059,0.79,1.2,FALSE
K515,10,1.1e-05,0.077,1.1e-05,-7.5,0.96,4.9e+03,0.59,FALSE,0.96,4e-05,3.5e-05,4.4,4.5,TRUE
K523,1,0.001,0.065,0.094,-6,0.97,3.5e+03,-0.38,FALSE,0.97,0.13,0.0025,0.89,2.6,TRUE
K523,10,3.7e-15,0.11,9.9e-12,-11,0.95,2.5e+03,-0.38,FALSE,0.95,7.5e-11,3.6e-14,10,13,TRUE
K537,1,0.017,0.037,0.081,2.1,1,5.2e+03,0.086,TRUE,1,0.12,0.026,0.92,1.6,FALSE
K537,10,7.1e-06,0.057,4e-06,-6.6,0.96,4.7e+03,0.086,TRUE,0.96,1.5e-05,2.6e-05,4.8,4.6,TRUE
K543,1,1.1e-16,0.11,5.7e-27,-18,0.93,5.7e+03,0.54,FALSE,0.93,6.5e-26,1.3e-15,25,15,TRUE
K543,10,5.7e-15,0.1,1.5e-20,-16,0.93,5.2e+03,0.54,FALSE,0.93,1.4e-19,4.9e-14,19,13,TRUE
K544,1,0.18,0.025,0.098,-0.27,1,5e+03,-0.021,TRUE,1,0.13,0.18,0.88,0.74,FALSE
K544,10,0.017,0.038,0.047,-3.5,0.98,4.8e+03,-0.021,TRUE,0.98,0.076,0.026,1.1,1.6,TRUE
K580,1,0.024,0.035,0.24,-3.1,0.98,5.7e+03,-0.045,TRUE,0.98,0.24,0.036,0.62,1.4,TRUE
K580,10,0.0005,0.062,4.8e-05,-7.6,0.96,4.9e+03,-0.045,TRUE,0.96,0.00014,0.0013,3.8,2.9,TRUE
K600,1,0.058,0.084,0.12,11,1,5.8e+03,0.093,TRUE,1,0.16,0.067,0.81,1.2,FALSE
K600,10,0.0052,0.054,0.014,-6.7,0.97,5.7e+03,0.093,TRUE,0.97,0.032,0.01,1.5,2,TRUE
K669,1,0.04,0.032,0.083,0.29,1,5.6e+03,0.12,TRUE,1,0.12,0.053,0.92,1.3,FALSE
K669,10,0.0072,0.035,0.0059,0.45,1,5.8e+03,0.12,TRUE,1,0.014,0.014,1.9,1.9,FALSE
K825,1,2.4e-10,0.092,1.9e-11,11,1.1,5.5e+03,0.54,FALSE,1.1,1.3e-10,1.2e-09,9.9,8.9,FALSE
K825,10,0.0086,0.048,0.072,3.4,1,5.2e+03,0.54,FALSE,1,0.11,0.015,0.95,1.8,FALSE
K872,1,0.013,0.062,0.024,8.5,1,6.9e+03,0.13,TRUE,1,0.049,0.022,1.3,1.7,FALSE
K872,10,0.06,0.06,0.091,3.3,1,5.4e+03,0.13,TRUE,1,0.13,0.068,0.9,1.2,FALSE
K893,1,0.075,0.035,0.022,2,1,5.7e+03,-0.0027,TRUE,1,0.047,0.084,1.3,1.1,FALSE
K893,10,0.046,0.058,0.23,-5.6,0.97,5e+03,-0.0027,TRUE,0.97,0.24,0.058,0.62,1.2,TRUE
K923,1,0.053,0.08,0.22,11,1,5.1e+03,-0.43,FALSE,1,0.24,0.064,0.63,1.2,FALSE
K923,10,0.0084,0.049,0.025,4.4,1,5.3e+03,-0.43,FALSE,1,0.051,0.015,1.3,1.8,FALSE
K958,1,0.00024,0.07,9.6e-05,8.1,1.1,5.2e+03,-0.37,FALSE,1.1,0.00027,0.00064,3.6,3.2,FALSE
K958,10,0.079,0.026,0.043,-0.49,1,4.7e+03,-0.37,FALSE,1,0.074,0.087,1.1,1.1,TRUE
