idCDP,BROAD_CPD_ID,CPD_ID,CPD_NAME,CPD_NAME_TYPE,cpd_type,CBP_SMILES
38,BRD-K06217810,630182,BRD-K06217810,BROAD_CPD_ID,MLP,CN(Cc1csc(C)n1)c1ncnc2ccc(cc12)-c1ccc2OCOc2c1
39,BRD-K59024967,372888,BRD-K59024967,BROAD_CPD_ID,MLP,Fc1cccc(F)c1S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
40,BRD-K00256256,630306,BRD-K00256256,BROAD_CPD_ID,MLP,[O-][N+](=O)c1cccc(c1)S(=O)(=O)n1cccc1\C=C(/C#N)S(=O)(=O)c1ccc(F)cc1
41,BRD-K77690805,83616,BRD-K77690805,BROAD_CPD_ID,MLP,Cc1ccc(NS(=O)(=O)c2ccc3NC(=O)CCc3c2)cc1C
42,BRD-K61627029,45400,BRD-K61627029,BROAD_CPD_ID,NOM,CN(C)c1nc(N)nc(CSc2nnnn2-c2ccccc2)n1
43,BRD-K37323001,630390,BRD-K37323001,BROAD_CPD_ID,MLP,OC(=O)[C@@H](Cc1cccc2ccccc12)N1C(=O)c2ccc(cc2C1=O)C(O)=O
44,BRD-K95864593,222804,BRD-K95864593,BROAD_CPD_ID,NOM,CC(C)Oc1ccc(C=NNC(=O)c2nnn(c2CN2CCC(C)CC2)-c2nonc2N)cc1
45,BRD-K78388870,166758,BRD-K78388870,BROAD_CPD_ID,NOM,Clc1nssc1=Nc1ccc(cc1)C#N
46,BRD-K56658166,146110,BRD-K56658166,BROAD_CPD_ID,MLP,Brc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1
47,BRD-K88625883,264363,reumycin,primary-common,NOM,Cn1c(=O)[nH]c2nncnc2c1=O
48,BRD-K13164804,255731,BRD-K13164804,BROAD_CPD_ID,NOM,CC(C)[C@H](NC(=O)c1cccc(c1)S(=O)(=O)N1CCCC1)c1nc2ccccc2[nH]1
49,BRD-A88878656,135459,BRD-A88878656,BROAD_CPD_ID,NOM,CC(C)Oc1cccc(c1)C(=O)C1CCCN(C1)C(=O)Cn1nc(C)cc1C
50,BRD-K23673040,125290,BRD-K23673040,BROAD_CPD_ID,NOM,[O-][N+](=O)c1ccc(C=NNC(=O)CNc2cccc3ccccc23)o1
51,BRD-K98326977,126316,BRD-K98326977,BROAD_CPD_ID,NOM,Cc1ccccc1OCC(=O)NN=Cc1ccccn1
52,BRD-K09922072,630361,BRD-K09922072,BROAD_CPD_ID,MLP,CCc1cccc(CC)c1NC(=O)c1ccc(o1)-c1cc(Cl)ccc1Cl
