,BRD-K28862419_0.3704 uM,BRD-K28862419_1.1111 uM,BRD-K28862419_3.3333 uM,BRD-K28862419_10 uM,BRD-K34692511_0.3704 uM,BRD-K34692511_1.1111 uM,BRD-K34692511_3.3333 uM,BRD-K34692511_10 uM,N-Benzylquinazolin-4-amine_0.3704 uM,N-Benzylquinazolin-4-amine_1.1111 uM,N-Benzylquinazolin-4-amine_3.3333 uM,N-Benzylquinazolin-4-amine_10 uM
ACH-000255,-0.509409295,0.521107956,0.255302829,-0.348869076,0.054438506,0.295819586,0.658636963,-0.011087358,0.513955535,0.197686686,-0.168988385,-0.542143359
ACH-000256,-0.059327112,-0.312241876,-0.059163651,-0.147483996,0.16298178,-0.319775122,0.055971604,-0.125606234,0.328126885,0.117570196,-0.151665448,-0.06892262
ACH-000257,0.144112558,0.143292303,0.003474033,-0.217743132,-0.152252136,0.047530369,0.057987734,0.155725616,-0.323184186,-0.262018873,-0.081530341,-0.259082242
ACH-000258,-0.642765401,0.14334257,0.29465519,-0.055944547,0.298757052,-0.059153631,0.260934211,-1.168351199,0.928396716,-0.175611762,0.011916305,-1.192156795
ACH-000259,-0.518370766,0.284253583,0.035075559,-0.126966449,-0.039641688,-0.140698824,-0.123081097,-0.187397963,0.374852331,0.020084061,-0.033188089,-0.497615737
ACH-000260,-0.225706137,-0.287184209,0.081683942,-0.036820397,-0.30797321,-0.108991811,0.144678027,-0.093144191,-0.159997759,0.171329407,0.002234462,-0.622192153
ACH-000261,0.177433313,0.282363107,-0.52051183,-0.18260678,-0.276308984,0.195455974,-0.003210354,-0.864311321,0.048184838,0.079811125,-0.737005415,-0.448038178
ACH-000264,-0.269151902,-0.461844614,-0.155517642,0.3518297,-0.382027083,0.076620737,-0.077603837,0.087323563,-0.133039521,-0.181678598,-1.057088002,-0.720542207
ACH-000265,0.51615346,0.130337723,0.043819167,-0.000602801,0.036489512,-0.042656316,-0.582937188,-0.427945856,0.291576998,-0.306122702,-0.275962402,-0.971429817
ACH-000266,-0.476946299,0.135143812,-0.296463801,-0.161983584,0.146897408,0.067090369,-0.888662587,-0.389518503,0.474028514,-0.407413227,-0.428142063,-0.634228678
ACH-000268,0.009747852,0.643229591,0.030960666,-1.207529012,0.456550704,-0.320251852,-0.154671007,0.849207712,0.436524324,-0.26195253,0.136321119,-0.571335538
ACH-000269,0.37558324,-0.607453056,0.744227893,-1.203305201,-0.049738675,0.325668576,-0.298151389,-0.678954651,-0.533427324,-0.69486729,-0.392049465,-2.09606886
ACH-000270,-0.515401732,-0.223951703,-0.216627664,0.573551581,-0.556887076,1.227637411,0.780157319,-0.132354823,0.265807506,-0.750075873,0.165856097,-0.356954255
ACH-000273,0.44711004,0.402270175,0.576580612,0.629504374,-0.280815027,-0.474876939,0.253519039,-0.832478018,-0.263317545,-0.005478153,0.641071813,0.107139528
ACH-000274,0.26484214,0.251412263,0.449776971,-0.022894747,0.072681825,0.304033658,0.046082168,0.191877274,-0.476316646,0.364339663,-0.005298659,0.179832678
ACH-000276,0.223905173,-0.183631369,-0.182363335,0.051862628,0.02993316,-0.072544519,-0.352049676,-0.20958924,0.183286333,0.117275556,0.575692658,-0.005935953
ACH-000277,0.139831748,0.002223987,-0.163158573,0.098533026,-0.331626332,0.047279364,0.148883087,-0.251045617,-0.092332241,-0.062455902,0.003347066,-0.875197268
ACH-000278,0.103616506,0.404956531,-0.259657223,0.047765386,0.2305589,0.103131642,0.073228363,-0.274249541,-0.047252241,0.128286972,-0.200927218,-0.512223433
ACH-000279,0.330847739,0.273633325,0.290506366,-0.128065197,0.138174252,0.193267669,0.035189383,0.36090925,-0.008801126,-0.096260639,-0.220053636,-0.707735297
ACH-000280,0.019595017,-0.034137336,0.025661251,0.002203957,-0.001153632,0.255603394,-0.170655335,-0.054190214,0.297660744,-0.044143037,-0.366278548,-0.643526021
ACH-000281,0.382870456,-0.345574619,0.227761281,-0.188096909,0.461614161,0.207295904,0.033303728,0.060050455,0.359282918,0.542182238,-0.542754863,0.539743037
ACH-000283,-0.386318164,0.219370069,-0.163355393,-0.035632792,0.049947531,0.437823189,-0.339480196,-0.336601087,-0.012182688,-0.435689435,-1.20821156,-0.41093027
ACH-000288,-0.722634271,-0.094245829,-0.097457149,-0.360062132,-0.408722982,0.100702249,0.007079178,0.172052162,0.115101596,-0.082026676,-0.426628376,-0.700343631
ACH-000289,0.105272928,0.494644639,-0.164103261,-0.280330361,0.317459959,0.220256381,0.464828828,-0.061544569,-0.106336576,-0.254154724,-0.345219153,0.051265367
ACH-000292,0.174291269,0.201323118,-0.487886318,-0.427205491,0.510231625,-0.137286608,0.400879649,-0.436578393,-0.496203866,-1.203957076,-1.498346844,-1.377212881
ACH-000293,-0.133558744,0.324466306,-0.239367275,-0.177785473,0.552971762,-0.428702863,-0.14782904,-0.42946993,-0.222762014,-0.128828846,-0.202783753,-0.205868576
ACH-000294,-0.643721508,0.801420972,0.004883932,-0.707824284,-0.061868298,-0.09817233,-0.20081066,0.616524026,0.047365428,-0.109078668,0.680767297,-0.167295027
ACH-000295,-0.409691406,0.117488511,0.20134444,0.192778716,0.383655846,-0.066371904,-0.485126358,-0.321252233,-0.21094,0.008995849,-0.23143639,-0.540284605
ACH-000296,0.099595429,0.406822861,0.051112893,-0.880641022,0.567092622,0.045092596,-0.61216096,-0.833621454,0.224193096,0.667887579,-0.026156142,-0.767411225
ACH-000301,0.111665881,-0.261743439,0.129761197,-0.349742047,0.014648545,-0.364373089,-0.276873849,-0.03921186,-0.273585764,0.203051304,-0.864967097,-1.260206835
ACH-000302,-0.331329087,0.524760074,0.171640115,0.457864655,0.201976091,0.079962495,0.079638556,-0.028174795,-0.065165276,0.463756322,-0.500727087,-0.890149033
ACH-000305,0.027788196,-0.412067888,-0.464625244,-0.013218772,0.516720166,0.111496189,0.339028864,-0.160605307,0.329510432,0.052694406,-0.682706513,-0.326591175
ACH-000307,0.022183109,0.479273486,-0.059471873,-0.180920923,0.140121025,-0.191057777,-0.078275301,-0.136306993,0.046655044,0.056081491,-0.48703896,-1.027341317
ACH-000308,0.139455718,-0.192920094,0.195656497,0.435406797,-0.25849212,0.428060769,-0.145947427,0.048810195,0.028802384,-0.024233716,-0.243062546,-0.407973277
ACH-000309,-0.253868888,-0.125574797,-0.422987521,-0.294310408,0.197495334,0.143486784,0.035222647,-1.050895002,0.479858131,0.002975453,-0.595305919,-0.600668526
ACH-000311,-0.48636483,0.255712584,-0.389376195,-0.018530827,0.420004822,0.079180941,-0.012842388,-0.825819078,-0.165627074,-0.057042393,-0.680303507,-1.407010457
ACH-000312,-0.629501537,0.079810027,0.254429088,-0.279912999,-0.413598586,0.012638448,-0.080447564,-0.429172073,0.384427646,-0.089892051,0.015027486,-0.188737564
ACH-000313,0.056908283,-0.029546884,0.363939308,0.461716043,0.138456685,0.489663631,-0.087190532,-0.531818147,-0.280409927,-0.580179912,-0.40550171,-0.261279162
ACH-000314,0.279455153,0.020060039,-0.055404232,-0.193575438,-0.063810161,-0.254222404,-0.112001272,-0.622203488,0.112480291,0.291257004,-0.441021311,-0.501850834
ACH-000316,-0.158358096,0.117930352,-0.002522228,-0.07091093,0.059494885,0.611451118,0.143010709,-0.088148985,0.055010724,0.012906591,-0.011835155,-1.029859186
ACH-000318,-0.021081594,0.019782878,0.086078151,-0.205877534,0.200179899,0.043970677,0.21411275,0.032555997,-0.004042088,-0.177477572,-0.223767598,-0.582175234
ACH-000319,-0.062255698,0.046057377,0.537138645,0.25760318,0.494321236,-0.272721681,0.88116682,0.559132653,-0.919260706,-0.470018717,-0.351303503,0.050704122
ACH-000320,0.048481543,0.141099901,0.058187563,-0.12910009,0.304245759,0.206707125,0.115753171,-0.99177085,0.314499104,0.23029335,-1.123618076,-1.311247132
ACH-000322,-0.246633867,-0.269892942,0.002740022,-0.050831805,0.329412816,-0.002134482,0.362005144,-0.444066902,0.190711256,-0.232020701,-0.005453027,-0.30226651
ACH-000323,-0.323633878,0.078934799,0.280187695,-0.012349602,0.327500602,-0.212898995,-0.242352221,0.340878133,-0.042425899,0.252013229,-0.210983411,-0.375238494
ACH-000324,0.104150206,0.231175787,0.225761087,-0.13237076,0.016870606,0.247028355,-0.039354627,0.135330258,0.138449549,0.017695435,-0.193683445,-1.212700239
ACH-000326,-0.065178392,-0.274249716,-0.095950774,-0.328409715,0.095267711,0.01317358,-0.325005104,-0.226402202,0.176067178,0.009989194,-0.598440472,-0.700071326
ACH-000329,0.22660472,0.031331326,0.133704288,0.283880751,-0.002010795,0.022332897,0.153484999,-0.051450726,0.051048443,-0.195312218,-0.190474069,-0.631091711
ACH-000330,0.189729663,-0.554366087,0.150114616,-0.229320203,0.618473809,-0.137427618,-0.154669324,-0.465054569,0.666001395,-0.098097047,-0.498915681,-0.558020456
ACH-000331,0.253937135,-0.341570366,0.291070528,-0.071487776,0.026023625,-0.534147759,-0.266447464,0.296376417,0.476166564,0.294575536,0.439888864,-0.035346991
ACH-000332,-0.08112382,0.082001736,-0.037172112,0.079531066,0.32683541,0.601210495,0.442000721,-0.133896482,0.374535513,0.061489356,-0.664677526,-0.495143146
ACH-000335,0.695006685,0.630153555,0.179481099,-0.577070339,0.55068087,0.259294356,-0.316732686,-0.970181363,0.110330837,0.078390297,-0.57675859,-2.234701356
ACH-000336,-0.07700103,0.45276969,-0.58963442,-0.25208737,0.619275182,-0.913260719,-0.089950259,-0.099341545,-0.237039016,-0.513706632,-0.427228346,0.591072364
ACH-000338,0.580208332,-0.066575955,0.446344363,-0.039167236,0.212222535,0.217980771,0.175566076,-0.211737297,0.361875156,0.167495141,-0.352572995,-0.402412412
ACH-000341,-0.51969083,0.283860524,-0.077869679,-0.161743648,-0.208469958,-0.583395376,0.135877911,0.183576989,0.214234862,-0.766845117,-0.012241303,0.236939376
ACH-000343,-0.204777592,0.46668709,-0.168442167,-0.473664436,-0.436101259,-0.24497655,-0.505131411,0.151731313,0.209645785,-0.285485161,0.053175509,-0.765845512
ACH-000344,0.521360252,-0.07409846,0.381495328,-0.408798681,-0.607986578,-0.013396371,-0.133132904,-0.848090926,-0.281797539,-0.319149435,-0.036730314,-0.259097984
ACH-000346,0.525274683,0.679377552,0.083449195,-0.284130667,0.418965213,0.32673277,-0.763795555,-0.607654512,0.492243996,0.235554749,0.365381957,-1.10876084
ACH-000347,-0.028009709,0.262031054,-0.123916665,0.208062746,0.033140207,0.022119357,0.036741212,0.360642292,0.09135021,-0.05352361,-0.597746771,-0.499619008
ACH-000348,-0.00508469,-0.544136781,-0.145004205,-0.136471931,0.335564571,0.101624761,-0.078560113,0.688561623,-0.372574419,-0.320239298,-1.094587953,-0.473101329
ACH-000350,-0.567172857,-0.365286775,0.00820279,-0.162264891,-0.019841285,0.16427741,-0.185226571,-0.432532933,-0.188613173,0.138782359,-0.284116058,-0.642988921
ACH-000351,-0.143512911,0.114097931,-0.020626299,-0.652821162,0.498009011,0.47109953,-0.356915436,0.341324024,-0.175927724,0.614654261,0.189269576,-0.322397468
ACH-000352,0.338953521,-0.115447183,0.188247936,0.173267655,0.103038591,0.188811268,0.07106747,-0.156840238,0.451976339,-0.106822958,-0.122261812,-0.661403866
ACH-000353,0.120487625,-0.221601535,-0.591053493,-0.693726712,-0.451633104,0.256195513,-0.359201504,-1.015871521,-0.497360662,-0.024258586,-0.411302633,-1.463467732
ACH-000355,0.436014619,-0.362060507,-0.003003463,-0.871893436,-0.323670195,0.382530983,0.021765311,-0.116938985,-0.050513328,0.342245112,-0.862101547,-1.410908042
ACH-000356,0.200629053,-0.233230092,0.043583876,-0.480208106,0.050976358,-0.001880548,-0.708999467,-0.476637913,0.1808601,-0.299441818,-0.207667914,-1.294248998
ACH-000357,-0.138591019,-0.287977962,-0.469621579,-0.244622937,0.122085488,-0.238248717,0.014207808,-0.068982328,0.313057346,-0.073188377,-0.441684413,-0.380060777
ACH-000359,-0.018785818,-0.205421046,-0.039628567,-0.02128774,-0.109753261,0.209696817,-0.10626715,0.222852981,0.04726928,0.04334946,0.174984824,0.014217583
ACH-000360,-0.51002767,0.259006295,0.596427824,-0.113597298,0.046498876,0.270963201,0.159052411,0.539139972,-0.091573036,-0.388387149,0.019418789,0.010943875
ACH-000361,-0.275051803,-0.195729612,0.198591633,-0.090143007,-0.762668848,-0.177605522,-0.620687062,-2.318659526,-0.239148489,-0.27797179,-0.498232746,-1.096426349
ACH-000362,0.27504794,-0.117691246,-0.045013355,-0.222611234,0.181825175,0.215237486,-0.475169107,-0.003440495,0.737310968,0.301323461,-0.342660532,-0.238708824
ACH-000363,0.110312815,-0.032393417,-0.411758756,0.013533805,0.096467723,0.308492964,0.188935608,0.225126765,-0.035563699,-0.141151171,0.111718282,0.42339179
ACH-000364,0.490249447,-0.325607064,0.234771413,-0.392883794,-0.122430401,0.203915626,0.244750015,0.422830307,0.307261246,0.204130175,-0.678002161,-0.283820586
ACH-000365,-0.306088691,-0.049903265,0.055779666,-0.101474213,0.016837687,-0.061165994,0.282202935,-0.214350183,0.085817082,-0.3384501,-0.469709983,-0.387211475
ACH-000366,-0.105793448,0.292825568,0.019466882,-0.801436293,0.21755937,0.518589857,0.126551413,0.066152112,-0.292872184,0.061196919,-0.054540054,-0.615213004
ACH-000367,-0.34204545,-0.378583242,0.116672374,0.212905446,0.095840665,0.296180956,-0.221110606,-0.022482598,-0.981491893,0.217344579,-1.414251117,-0.815314007
ACH-000368,0.416287893,-0.016591414,0.380782326,-0.083582592,0.029023921,-0.471323011,-0.046327299,-0.293200569,0.033572552,-0.442462342,0.294659904,-0.299518797
ACH-000371,-0.112776608,0.242934562,0.240948991,0.453422894,-0.376393999,0.15625549,0.75172171,-0.315245258,0.116258329,-0.66823061,-0.043983428,-0.509979167
ACH-000372,0.289477056,-0.178727802,-0.15103249,-0.743377317,-0.103442426,0.183432602,0.095294304,-0.182052166,-0.14283746,-0.335225682,-1.111134049,-1.903042667
ACH-000373,0.118240943,0.326864369,0.335504888,0.291246802,-0.199974046,0.234141365,-0.035910107,0.167534414,0.1311817,0.250979942,0.487181407,0.23242656
ACH-000374,-0.220254279,0.045984264,-0.03322207,-0.431214312,-0.19469088,0.041217289,0.098227193,-0.054027985,0.087605222,-0.372470646,-0.697663637,-0.613754818
ACH-000375,-0.122221291,-0.16875369,-0.255948604,-0.671714264,0.042439272,-0.024832726,-0.041057339,-0.563414664,0.066922604,-0.243060548,-0.832389847,-1.631961313
ACH-000376,-0.089908892,-0.560628033,0.310164456,0.540100291,0.112752099,0.97550255,0.691128688,0.636341453,0.62819541,0.437051547,-0.738633305,0.04401816
ACH-000378,0.132416413,0.220283418,0.100518664,-0.032720803,0.388085027,-0.106115206,-0.023504455,-0.335593045,0.467372574,-0.042680761,-0.381184294,-0.376580771
ACH-000380,-0.241540331,-0.387315156,-0.145870982,0.080440761,0.040906145,0.090018306,-0.089007029,-0.388732103,0.079085493,0.21543728,-0.489660087,-0.140615762
ACH-000381,0.449972235,-0.128821673,0.467070951,0.493127851,0.017295878,-0.042520659,0.415065063,-0.04054496,-0.117174785,-0.051446785,0.221771118,-0.693725383
ACH-000383,0.45774538,0.12606836,0.046337054,0.010917142,-0.110712286,-0.033044954,0.201933818,-0.348649553,0.015239805,-0.348440335,0.081284323,-0.480451583
ACH-000384,-0.484305344,-0.895882259,-0.720227013,0.390007342,0.161274419,-0.479501514,-1.271265031,-0.102044503,0.532367339,0.507210814,-0.427398824,-0.275611591
ACH-000387,-0.021976917,0.127213872,0.127759277,0.099591452,0.09142205,0.551484472,0.395459933,-0.052569088,-0.538398163,-0.822316144,-0.294743893,-0.960265235
ACH-000388,-0.01067679,-0.054502879,-0.047661681,-0.818502633,-0.248103314,0.286485722,-0.29715334,-0.300707369,0.400934628,-0.072113413,-0.850393509,-1.349878303
ACH-000389,0.304645432,0.212287767,0.37105179,0.603362164,0.196600962,0.058902754,0.383372361,0.151293223,0.133190595,-0.052767864,-0.813923952,-1.07461736
ACH-000390,-0.360116165,-0.562884292,-0.452538237,-0.118420417,-0.246883581,-0.1816436,-0.124682542,0.225078741,0.184545117,-0.138250514,-0.748730517,-0.153786062
ACH-000391,-0.102603484,0.196122499,0.009094504,0.101281268,0.14608654,0.210936122,-0.119691374,0.146966466,0.411028203,0.175065605,-0.323452276,-1.35039749
ACH-000393,-0.529779621,-0.405270591,0.339780869,-0.24370259,0.868727222,0.69555744,0.516958993,0.22332528,-0.550223584,0.243309425,-0.47977851,-0.496104606
ACH-000395,-0.16597477,0.108622104,-0.125714684,0.175518625,0.35592195,-0.482551769,-0.637678017,0.186973924,0.578726241,-0.633384295,-0.321116711,-1.069555369
ACH-000396,0.269393607,-0.132983611,-0.078216813,-0.312750606,0.303689718,0.063978339,0.149561842,-0.013079549,0.291683226,0.138423995,-0.156631056,-0.214344615
ACH-000397,0.087179438,0.035567292,-0.23096541,0.222893417,0.349719498,-0.059960401,-0.498867605,0.059410043,0.210543679,-0.088045438,-0.495686823,-0.71527641
ACH-000398,0.011140266,-0.093942769,-0.157488141,-0.545332098,0.394692392,-0.502471253,-0.072674499,-0.344774038,-0.115571712,-0.351997473,-0.406299244,-0.693659995
ACH-000401,0.223748031,-0.28819382,-0.115883467,0.02383302,0.01507743,-0.061696301,-0.064027299,-0.418713222,0.032698351,-0.047117587,-0.572224493,-0.635182998
ACH-000403,0.074151536,-0.021162122,0.108944698,0.311125881,-0.233717729,0.414545654,0.138489989,-0.104870352,0.471637834,0.157072446,-0.316182898,-0.682428882
ACH-000404,0.442889873,-0.354485029,0.359624844,-0.480881179,-0.212633748,0.358653,-0.242205968,-0.072303138,-0.010852438,-0.256893802,-0.690059951,-0.561119813
ACH-000406,-0.126589283,-0.284808333,0.392366792,0.464469189,0.515939971,0.23056583,0.052106545,-0.239576518,-0.188749795,-0.147692836,-0.449757833,-0.873070199
ACH-000407,-0.014123164,0.448477342,-0.756972014,-0.452942879,-0.636327903,-0.954494307,-1.189649744,-1.592211968,-0.255249858,-0.321870213,-0.90821552,-1.083621392
ACH-000408,0.102892903,-0.319358149,0.156971776,0.055747078,-0.118394199,-0.216127556,0.071401783,-0.334734657,0.560966349,-0.12505318,-0.063960867,0.048235762
ACH-000410,-0.107777423,0.200053599,0.388589815,0.086958518,0.108487176,0.428864239,-0.024330319,0.61318486,0.05744817,0.431599868,-0.570476186,-0.596984028
ACH-000411,0.370914563,0.240991627,0.306554437,-0.006288739,0.404753318,0.148126037,-0.083101716,-0.082188343,0.159864719,-0.09191468,-0.145593881,-0.706875432
ACH-000414,-0.683307623,-0.086806868,0.148854594,-0.631686386,-0.080678534,-0.096719037,0.224466873,0.017188832,0.073788688,-0.271122617,-0.921042098,-1.621689777
ACH-000415,0.386075812,-0.196876599,0.179538965,-0.07567327,0.383776962,-0.10328811,0.1828946,-0.226820183,0.098003721,-0.084497311,-0.798480556,-0.757663657
ACH-000416,0.299593547,0.015332741,0.433351746,-0.204699275,0.111251073,0.056004946,-0.079616957,0.071935892,0.317100144,-0.062174945,-0.091356209,-0.64059337
ACH-000417,0.222907481,-0.283022672,-0.478349149,-0.830508509,-1.137485085,0.993788738,-0.021730915,0.240044607,-0.758831536,-0.019848211,0.225924306,-0.897955314
ACH-000418,0.137270259,0.679291994,0.499365042,-0.400019599,1.009419196,0.650720078,-0.433722849,0.064110865,-0.076208375,-0.248618002,0.876953723,0.943181784
ACH-000419,0.162998334,-0.242959973,0.212466613,0.060266256,0.306987632,0.168699077,-0.065020894,0.284011108,0.227531765,0.219635165,-0.14308496,-0.106299431
ACH-000420,0.097059387,-0.070560437,0.092973752,0.024405586,-0.09885118,0.142404428,-0.358646946,0.227874431,0.12919156,-0.239895574,-0.415970348,-0.629586102
ACH-000421,-0.050145396,-0.31354329,0.63489441,0.033691555,-0.286868496,0.236528196,0.391818721,0.007378621,0.208597193,0.609410549,0.301026653,0.03290278
ACH-000423,-0.116508688,-0.122186567,-0.202275034,-0.017344964,0.120154459,0.027148023,-0.158951877,-0.886012728,0.200743664,-0.329267462,-0.737820511,-0.718638567
ACH-000424,0.386939625,0.295097383,0.382821665,-0.162792071,-0.069081404,0.011585035,-0.096086845,-0.22306114,-0.07785661,0.341966376,-0.15903082,-0.612162234
ACH-000425,0.209942689,0.010208048,0.338148097,0.026932449,0.059126552,-0.215161628,-0.176337518,-0.294466438,0.075444436,-0.36790928,-0.205487618,-0.87470138
ACH-000427,0.058358626,-0.812210996,1.191058933,-0.444782279,0.380360823,0.412489673,-0.685418912,0.428305714,0.143593871,-0.596253147,-0.092743722,-1.279737105
ACH-000428,-0.164928108,0.191654295,-0.349429819,0.05875052,-0.066814937,0.388254397,0.10347633,-0.045651463,-0.547759651,0.212005497,-0.520656306,-0.822604634
ACH-000429,0.366864783,0.013452357,-0.336637576,-1.675934601,0.355937019,-0.392669879,-0.0046499,-1.42836679,0.399325325,0.18708056,-0.463293667,0.007923411
ACH-000430,-0.225605466,-0.216159561,0.169544026,-0.414008465,-0.084263555,-0.02045477,-0.052261935,-0.419532811,0.325503754,-0.209269418,-0.26189895,-0.277809652
ACH-000431,-0.392467165,-0.034160376,0.224884792,0.030458472,-0.416331258,-0.606492183,-1.01923935,-1.46751268,0.36900916,0.17866829,-0.103447357,-0.277103563
ACH-000432,-0.102707522,-0.101042079,-0.308380819,-1.162154938,0.099639187,0.258035018,-0.481972233,-1.363141361,0.128477744,-0.026369099,-0.449850089,-0.36059628
ACH-000433,0.140800156,-0.117007639,-0.178703793,-0.177699203,-0.819521895,-0.017056808,-0.241229613,0.129185943,0.193341773,-0.555214366,-0.80294969,-0.599748746
ACH-000434,0.008301077,0.148622782,0.122346921,0.30542853,-0.134113221,0.047963694,-0.044479459,0.081931063,0.334241549,-0.090390868,-0.171795314,-0.321611824
ACH-000435,-0.009720672,0.209784436,0.010884745,-0.164311252,-0.208477943,-0.291694494,0.018423019,-0.0522438,0.201393882,0.254028115,-0.309721593,-0.797354064
ACH-000437,0.259683684,0.54507968,0.376665793,-0.198283728,-0.377700848,-0.338195736,-0.704209176,0.096529473,0.147938042,0.378807353,0.163941575,-0.30524275
ACH-000441,0.240948458,0.087439197,0.022497737,0.148613461,0.231936595,0.070727111,-0.529277384,0.011568741,0.336388746,0.074765339,-0.140203467,-0.541343709
ACH-000443,-0.139076395,0.142438271,-0.669665471,-0.151397185,0.27381648,-0.10193703,-0.033600344,-0.165092104,-0.438033153,0.085619242,-0.088881579,0.139138173
ACH-000444,0.066828683,-0.153217609,-0.502937518,-0.520984461,-0.089222054,0.210082047,-0.089997205,-1.13066818,-0.058112235,-0.08496646,-0.786152318,-1.348302585
ACH-000445,-0.196673819,-0.015654421,0.217597453,0.064911911,-0.143021181,0.317424769,-0.086283303,0.200070393,-0.265326558,-0.181828127,-0.243409124,-0.211555437
ACH-000447,0.003081268,0.220960715,0.55700159,-0.067359584,0.167635674,-0.010900181,-0.108975759,0.196424102,0.291262554,0.301560692,-0.019473587,-0.591559263
ACH-000449,0.166089302,-0.279651964,-0.342047056,-0.124556858,-0.249381647,0.010337866,-0.64123363,-0.003340441,0.637323009,-0.364916668,0.084921184,-0.38242923
ACH-000450,0.482101059,0.152082642,-0.33431753,-0.569426109,0.09463963,0.357620894,-0.452956012,-1.359382947,0.091405489,-0.666962344,0.42305605,0.225456489
ACH-000452,-0.078943824,-0.099232609,0.084412514,-0.34654799,0.188042464,0.02051048,-0.79085953,-0.426918747,-0.384667898,0.284561859,-0.042742973,-0.431290459
ACH-000453,0.134192028,-0.377272893,-0.016791263,-0.134170013,-0.227965197,0.240614783,0.11555217,0.23601488,-0.028781086,-0.106883636,-0.370358906,-0.683570714
ACH-000454,0.192592636,-0.24452611,0.00359356,-0.527529152,0.244448107,-0.127211779,0.043149724,-2.072295782,-0.177166064,-0.12177176,-0.867386462,-1.096324554
ACH-000456,-0.057128079,-0.134606834,0.159637553,-0.599752502,0.142633351,0.3317293,0.004275632,-1.284803962,0.290152144,-0.030114987,-0.580436835,-0.955411548
ACH-000457,-0.131661981,-0.857818945,0.109253638,-0.446459615,0.316512981,0.081236548,0.259637487,0.363903132,-0.303366951,0.15828434,0.367329475,0.56541252
ACH-000458,-0.03561316,-0.075849656,0.055610422,-0.771557091,-0.136179571,0.157487091,-0.244509605,-1.040286907,-0.166571097,-0.013623483,-0.588477876,-1.236080124
ACH-000461,-0.437242376,-0.117039867,-0.355577702,-0.093736,0.116219741,0.173470184,0.427204195,0.303116396,-0.469013966,0.365641823,0.209812594,-0.294657972
ACH-000463,0.196046115,0.023195164,-0.039159234,-0.125224034,-0.220033434,-0.102506572,-0.34704625,-0.177336129,-0.091395275,-0.505991325,-0.726147896,-1.069803
ACH-000464,0.27899806,-0.337478573,0.255170501,0.210285228,0.351555433,-0.011728174,-0.543596691,0.620324264,-0.02003676,-0.802168934,-0.926766748,-0.279048786
ACH-000466,-0.360542966,0.10491725,-0.170094793,-0.085312694,-0.037402632,-0.414029411,-0.31172343,-0.18473518,-0.227862673,-0.121147199,-0.428469507,-1.409566549
ACH-000467,-0.000472544,0.359845197,-0.385470867,-0.172698928,0.615995492,0.225819063,-0.569072387,-0.323201885,0.385238199,-0.291397063,-0.41576307,-0.526111433
ACH-000468,0.317516894,-0.235429556,0.015149842,-0.325219501,-0.341120513,-0.425742853,-0.221420023,0.015478804,-0.216873153,-0.052148819,-0.653455397,-0.074662474
ACH-000469,0.078309909,0.200396965,0.386627942,-0.751195175,0.246765083,-0.114570991,0.248004604,0.050959272,-0.205811426,-0.458141724,-0.520981983,-0.344904992
ACH-000470,-0.455087901,-0.331474413,0.205576745,-0.660818789,-0.242947262,0.40104676,-0.500139587,-0.355967467,-0.154937777,-0.077887357,-0.314581613,-0.403619835
ACH-000471,0.492467059,-0.080217124,0.140117373,-0.185325706,0.228888308,-0.18290145,0.086862692,0.162936262,-0.306735492,-0.820675025,-0.596051988,-1.708943904
ACH-000472,0.145122838,-0.235335045,-0.056575867,-0.480728898,0.112868557,0.39489859,-0.139569058,-0.86215606,0.221739952,0.137413062,-0.238031658,-1.165911022
ACH-000473,-0.0973164,-0.142143042,0.012427256,-0.137334972,0.083275899,0.207363426,0.001612542,-0.407068334,0.192823578,-0.339574036,-0.113492425,-1.279718462
ACH-000475,0.14914217,-0.292826823,0.048233273,0.350100995,-0.127350553,0.335549178,0.126265265,0.164201631,-0.04676881,-0.135268089,-0.825857632,-1.233170254
ACH-000476,-0.051664551,-0.508383557,-0.588217094,-0.62508201,-0.305356836,0.12121162,-0.122643737,-0.413439728,-0.176037166,-0.253568854,-1.058523417,-1.123359172
ACH-000477,0.053885094,-0.506516623,0.263847345,0.134125976,-0.008839847,-0.015037896,0.33780844,0.202731854,-0.232566957,0.017772093,-0.502265961,0.065020106
ACH-000479,-0.013386308,-0.113185381,-0.376784514,0.257643772,-0.206016061,0.572645979,0.153838945,-0.028090428,0.065746877,-0.406362809,-0.513672141,-0.983880607
ACH-000480,-0.471237348,-0.070077281,-0.012156535,-0.082093412,0.448318151,-0.073677004,0.494497688,-0.529348798,-0.052886132,-0.051867647,-1.054722156,-1.028986261
ACH-000481,-0.006536109,-0.168207437,0.202234783,-0.580786515,0.150998901,0.190632741,-0.157914182,0.098834676,0.232034509,0.175771909,-0.305907145,-0.855142439
ACH-000482,-0.038288463,0.310335786,-0.040385546,-0.612809606,0.190897462,0.255954349,-0.315001809,0.278927746,0.371779763,-0.658309902,-0.666160527,-0.347525862
ACH-000483,0.047471791,0.414840495,-0.452135546,0.088901987,0.344658274,0.211344353,0.040976528,-0.240703244,0.532071968,-0.184316162,-0.267337358,-0.242739013
ACH-000484,0.157303562,0.026309293,-0.022448152,-0.439615704,0.057955227,0.001794069,-0.066930188,-0.084505907,-0.027318036,0.070767868,-0.209661041,-0.37414083
