,BRD-K28862419_0.3704 uM,BRD-K28862419_1.1111 uM,BRD-K28862419_3.3333 uM,BRD-K28862419_10 uM,BRD-K34692511_0.3704 uM,BRD-K34692511_1.1111 uM,BRD-K34692511_3.3333 uM,BRD-K34692511_10 uM,N-Benzylquinazolin-4-amine_0.3704 uM,N-Benzylquinazolin-4-amine_1.1111 uM,N-Benzylquinazolin-4-amine_3.3333 uM,N-Benzylquinazolin-4-amine_10 uM
ACH-000054,0.173200249,0.248702639,0.183380213,-0.874354043,-0.70083145,-0.185989305,-0.831010831,-0.053851639,-0.072303959,-0.034622421,-0.515068996,-0.60392693
ACH-000056,-0.224587729,-0.312782687,0.051353662,-0.384268132,-0.304241489,-0.524195436,0.21947042,-0.902042921,-0.112053234,-0.138631088,-0.154761179,-0.837207566
ACH-000059,-0.093653362,0.026506607,-0.340306198,-0.110499169,0.040268936,0.090780289,-0.092970243,0.006767293,0.128965338,0.084927407,-0.231395868,-0.470016299
ACH-000060,-0.007034304,-0.117919577,-0.11273424,0.000575236,-0.104202116,0.378172056,0.113250302,0.034849219,0.138495258,-0.164851878,-0.837903128,-0.926199682
ACH-000061,0.417810611,0.093390315,0.003728032,0.096014316,0.020345383,0.313110301,0.432541725,-0.258742814,-0.209683119,-0.115248508,0.189558779,0.238931473
ACH-000062,-0.067524035,-0.029459205,0.069431711,-0.703304304,0.309382669,0.261792985,0.171603843,-0.103200343,-0.053383338,0.190291869,-0.565423836,-1.24966121
ACH-000065,0.296865096,-0.068357085,0.151937024,-0.043061551,-0.190914048,0.127763786,-0.005242381,0.199015494,-0.025839342,0.012942396,-0.241785275,-0.497182946
ACH-000066,0.343342475,-0.056124373,0.103139302,-0.175232271,-0.45275714,0.208301999,-0.309957371,-0.271371932,-0.017813496,0.012166439,-1.432100473,-2.34496757
ACH-000067,-0.045065188,-0.106631781,-0.009602588,-0.513504673,0.122966926,0.304933037,0.44338254,0.928685978,-0.663186271,-0.154056127,-0.104021042,-0.954366422
ACH-000069,-0.352893001,0.597557555,0.114368181,-0.375323084,0.216774527,0.02972095,-0.270149876,0.008231326,0.577331383,-0.735772104,-0.331645319,-0.901166738
ACH-000070,-0.350791484,0.374810727,0.078253269,0.016473201,-0.801993298,-0.245267554,0.920629007,-0.75379181,0.333286218,-0.07224977,-0.18173274,-1.061646746
ACH-000072,0.650600426,-0.443485743,-1.812433835,-0.883522342,-0.351757423,0.417309767,-0.188855267,-1.429370834,0.994188522,-0.417304385,-1.295473863,-1.870950223
ACH-000073,-0.482842056,-0.440365957,0.288717804,-0.275980559,0.165111186,-0.155736118,0.166872193,0.168545051,-0.00861108,0.16108449,-0.279446127,0.031626605
ACH-000074,-0.158471438,-0.164613007,-0.051361558,-0.636036433,-0.560994224,0.167208954,-0.181994579,-1.328787897,-0.257184781,-1.416656245,-1.497088313,-1.850512667
ACH-000075,-0.215418318,0.083189113,-0.529486736,-0.220540247,0.167858165,0.172928595,0.062008943,-0.19909317,0.089751949,-0.147964247,-0.129344332,-1.160100671
ACH-000076,-0.347912772,-0.515931253,-0.405589193,-1.365765217,-0.323931757,-0.435333216,-1.027187189,-0.777734862,-0.255026556,-0.15935921,-0.908324537,-0.756916289
ACH-000078,0.533688932,-0.205350043,-0.102355276,0.234667823,-0.514127467,0.172812064,0.255419943,0.296160904,-0.440267023,-0.100451504,-0.223395097,-0.713442221
ACH-000080,0.889222896,-0.233688731,-0.362360455,-0.089772449,-0.034372867,0.249103621,0.819754885,-0.977893429,-0.007338873,-1.000521231,-0.203759732,-0.286372472
ACH-000082,0.768111853,0.054698602,-0.246243456,-0.050109027,-0.576375673,0.033708466,0.044950577,-0.168104586,-0.441495451,-0.146559696,-0.124806571,-0.203423517
ACH-000086,-0.104283046,0.165782971,0.248668929,-0.319012395,-0.399315521,0.297050695,0.268656289,0.488118926,0.570791239,-0.037122183,0.086648752,-1.287663841
ACH-000087,0.181068703,-0.079231315,-0.083354117,-0.16201426,0.075107321,0.107272819,-0.261354323,0.319578044,0.323512815,-0.152893194,-0.431138617,0.08075622
ACH-000090,0.027116319,-0.584470292,0.270007705,0.029146608,0.402292789,-0.051420739,-0.066053309,-0.143251611,0.36059459,0.17098595,-0.324133597,-0.23989654
ACH-000091,-0.158250902,-0.166882288,0.386965465,0.293836129,0.012942622,0.241455463,-0.190500965,-0.161193597,0.105746723,-0.472305842,-0.60112704,-1.318209585
ACH-000092,0.118570281,-0.260270226,-0.148330666,-0.164502746,-0.018639512,-0.368903314,-0.186949463,-0.400980181,0.139869877,0.241515825,-0.215147346,-0.271847196
ACH-000093,0.300788981,-0.154735462,-0.265136057,-0.162244935,-0.171681479,0.22722177,-0.079597316,-0.547343436,-0.461213871,-0.339836669,-1.688076067,-1.51310196
ACH-000094,-0.129450864,-0.050060056,0.052698206,-0.385696266,0.105184864,-0.082080027,-0.123807312,-0.222152993,0.169104183,0.294985515,-0.201575234,-0.740115929
ACH-000096,0.041184055,0.185129228,-0.012493991,-1.061500339,0.577555895,0.500466762,0.788703049,-0.382056126,-0.096542129,-1.040828405,-1.066418075,-1.620545355
ACH-000097,0.324739624,0.08170627,-0.247220084,-0.365880439,-0.185079149,0.133994675,-0.059551433,-0.561961716,-0.29572065,-0.109932244,-0.790860335,-1.603065747
ACH-000098,0.563195018,0.217631524,0.076379714,-0.035850378,0.379120277,-0.406006816,-0.146545756,-0.418442708,-0.07550951,-0.474390964,-0.785507958,-1.177813221
ACH-000099,-0.453364723,-0.273640754,0.16228592,0.131683977,0.009904248,0.147143265,-0.245889305,-0.003306185,-0.113876691,0.063805082,-0.519761856,-0.277532408
ACH-000101,0.079191578,0.119893847,0.309077197,-0.612887183,-0.12495656,-0.092443169,-0.374272006,-0.605456481,0.001860632,0.068012784,-0.558480393,-1.160306389
ACH-000105,-0.191559766,0.180599598,-0.165590034,-0.220178108,0.09394021,-0.084526466,0.134345178,0.053555962,0.055900735,-0.257450201,-0.089469173,-0.286360867
ACH-000107,-0.155483306,0.28624396,-0.48569726,-0.095777661,-0.295959734,-0.36973808,-0.397350901,-0.509439808,0.306520941,-0.189702143,-0.99462849,-0.672199486
ACH-000108,0.054178004,-0.140631164,-0.174709486,-0.071307034,0.29057493,0.220838753,-0.210162508,-0.491899123,0.083035188,0.074883412,-0.257302669,-0.384179127
ACH-000113,0.236568039,-0.188697233,-0.183847548,-0.320061834,-0.06701364,-0.088315849,0.05875233,-1.195828434,-0.154339529,0.184105052,-1.291166102,-1.679382984
ACH-000117,0.49066178,0.104084406,0.477592637,-0.227924398,-0.522602003,0.402879251,-0.528984903,0.361917521,0.056703392,0.231087673,-0.48396561,-0.368253652
ACH-000118,0.088179323,0.052082236,-0.151391075,-0.09945148,0.108372294,0.290671683,0.18294094,-0.32884559,0.04290835,0.428407146,-0.597211798,-0.601153207
ACH-000120,0.556648573,0.086402543,0.539194855,0.097725317,-0.104880769,0.454389966,0.194516706,0.830932277,0.293552908,0.27846514,-0.005052551,-0.86218844
ACH-000122,0.034424976,0.091015433,-0.013305752,-0.218306689,0.603609034,0.164725862,-0.135526564,-0.312506784,-0.085400337,-0.092500543,-0.928018523,-1.042219115
ACH-000123,-0.152170326,0.545467401,-0.605512015,-0.837238579,-0.345195872,0.547725251,-0.364327787,-1.209124529,1.010416629,-0.63246054,-0.631005,-2.003978175
ACH-000124,0.074028297,0.120850797,-0.27078615,-0.376191754,0.208942725,0.012851086,-0.031005463,-0.214411643,-0.120364806,-0.412855284,-0.239431631,-0.504397366
ACH-000129,-0.232393258,-0.156912515,0.022504804,0.1416966,0.154305303,0.343971591,0.372912721,-0.074245675,-0.293386748,-0.353191833,-0.494883383,-0.823339877
ACH-000132,0.039094854,0.007989286,-0.256212349,0.09222129,-0.009823551,-0.196940585,0.062571119,0.061657337,-0.030070082,-0.14914179,-0.175823126,-0.435192816
ACH-000133,-0.002378674,0.014793552,0.097549986,-0.208546823,0.085340464,0.037956879,0.07000146,-0.310443149,0.110262983,0.080454185,-0.196320078,-0.089482027
ACH-000137,-0.178356983,-0.138980342,-0.494459068,-0.358243589,0.642811408,0.200232158,0.069244603,-0.023630193,-0.267402957,0.140927159,-0.275292745,-0.63256093
ACH-000138,-0.108933752,0.040430166,0.012146114,-0.39636229,-0.000444037,-0.014185158,-0.120923848,-0.042272573,-0.496756978,0.048038997,-0.656941843,-0.871521659
ACH-000139,0.152494957,-0.115618091,0.197647174,-1.356526786,-0.049872724,-0.11992733,-0.967972307,-0.057472417,0.3118329,-0.030810917,-0.528608798,-0.664775646
ACH-000141,0.034490839,-0.208723419,0.132851565,0.358261404,0.255345302,0.041900993,-0.363387125,0.360223024,0.31549046,-0.011524041,-0.25633091,-0.449619436
ACH-000142,0.161690483,-0.299013855,0.324282465,-0.775330125,-0.009788955,-0.008913135,-0.434134111,-0.896673303,0.252860529,-0.302139896,-0.70311808,-0.533088167
ACH-000144,-0.126802214,-0.000398511,0.237406051,0.03450534,0.27903855,0.367036738,0.038044606,0.171349211,-0.242864537,0.011131754,-0.460380528,-0.040151669
ACH-000145,-0.077391075,-0.016821866,0.632238187,0.097360929,0.611917522,0.081673942,-0.361843692,0.059404831,0.259866237,0.058624103,0.168332842,-0.347823361
ACH-000147,0.242674087,0.033521773,0.290600569,0.056744491,0.182722474,-0.408596939,0.001932793,-0.281938555,-0.284767022,-0.558706506,-0.605308901,-0.446884154
ACH-000151,-0.416616552,-0.10028605,0.32749545,-0.241553729,0.192254927,0.185777163,-0.180490274,-0.054243832,0.212216801,0.286517131,-0.675603924,-0.540405897
ACH-000152,0.298338407,0.056514075,0.194543252,-0.235463369,0.200156218,-0.229420842,-0.193166533,-0.222134222,-0.173979156,0.451140723,0.137030437,-0.078091174
ACH-000153,-0.57971412,0.072132019,-0.669606344,-0.437048238,0.324575029,0.409958611,0.127988514,-0.048753948,-0.079939111,-0.129136322,-0.43580154,-0.816741587
ACH-000155,0.060294355,0.04350231,-0.365251548,-0.40524086,-0.179420107,0.208235149,0.22440788,-0.145775654,-0.446097884,-0.16322484,-0.519247949,-0.54248764
ACH-000158,0.229515973,0.013378394,-0.030830908,-0.117331026,0.052042201,0.081283846,-0.500298843,-0.213003336,-0.697095537,-0.060011751,-0.678926363,-0.978046238
ACH-000159,-0.236178784,0.697601019,0.255974031,-0.196650352,-0.956517899,-0.081472306,-0.293160281,-1.028346269,-0.110319389,-0.222447275,-0.835725891,-1.536817022
ACH-000160,0.437209766,-0.092128127,0.031929206,0.128088203,-0.079549121,0.007636148,-0.322068981,0.150590414,0.138895961,0.022363824,-0.474560819,-0.797936504
ACH-000161,-0.249873719,0.238121957,-0.339358334,0.164862323,-0.326269466,0.252410276,-0.010049197,0.092120051,0.372697143,0.466377738,-0.554358062,-0.662983753
ACH-000163,-1.033914123,1.246940598,-0.616810964,-0.845347351,-0.813809047,-0.826285245,0.028293283,-0.879827566,-1.150045806,0.837067799,-0.312165285,-1.675478745
ACH-000164,-0.502308549,-0.801771832,0.040375745,-0.395071439,0.031915243,-0.217404324,-0.432859653,-0.444429752,-0.39010796,0.151740448,-0.862774029,-0.141653504
ACH-000167,-0.030204765,-0.094333273,0.048327985,-0.454739808,0.286084003,-0.53566938,0.103798008,-0.121199545,0.589588436,0.677102328,0.115147784,-1.363493425
ACH-000168,-0.090513028,0.002483263,0.109444509,0.033311885,-0.134201069,-0.089542635,-0.15799282,0.398095933,0.023937836,-0.378041117,0.229286755,0.048790616
ACH-000169,-0.007797754,-0.099398393,0.519396631,0.200541264,-0.09812102,0.16475159,0.117138775,-0.220208273,-0.233508524,-0.324491648,-0.208087007,-0.492223324
ACH-000171,0.403458718,-0.294854095,-0.136348347,0.13722851,-0.046181634,0.085459174,0.020353016,-0.054081437,0.079063276,-0.498093067,-0.329420895,-0.159284551
ACH-000172,-0.123015193,-0.019326591,-0.085556303,-0.61159035,0.229370497,-0.178764083,-0.16158714,-1.072624729,-0.1279852,-0.142316492,-0.876859239,-1.491283894
ACH-000174,-0.262806695,-0.12325682,0.078501521,-0.16567153,-0.187781916,-0.041155246,-0.345949449,-0.061972068,-0.272875479,-0.345952663,-0.708248813,-0.528005014
ACH-000176,-0.08789722,0.050029743,0.224554253,0.67773802,0.188000066,-0.077806282,-0.016343541,0.351294495,-0.04669976,-0.523082648,-0.565426216,-0.251861694
ACH-000178,0.047425858,0.241723292,-0.508672102,-0.150092402,-0.377056221,0.16743048,-0.189694615,-0.288157742,0.482501015,0.356876151,-0.093798856,-0.517896535
ACH-000181,0.210900737,-0.003515372,-0.120264067,-1.024903167,0.198341515,0.380033687,-0.11051239,-0.321745443,0.458768455,-0.236191763,-0.312908233,-0.0442259
ACH-000182,0.038899265,-0.590668406,0.091594827,-0.275265906,-0.222458656,0.477964048,0.325490622,-0.306925875,-0.194278791,-0.282301575,-0.602404113,-0.638397978
ACH-000183,0.010323782,-0.138716594,-0.209229057,-0.11679811,0.02643819,-0.210877103,0.00014448,-0.228401829,0.034106849,0.339993004,-0.093223921,-0.967388376
ACH-000186,-0.111610917,0.381450117,0.171465446,0.613167899,-0.360043257,0.84479043,-0.355333536,-0.463440448,0.499676493,-0.271079932,-0.433048243,-0.787730057
ACH-000188,-0.146610321,0.065296525,0.077648596,-0.269895872,0.072052615,0.226861413,-0.674338051,0.175339148,0.475113332,0.132367086,-0.264143307,-0.185844059
ACH-000189,0.031321359,-0.435666174,-0.583351714,-0.103238981,0.050325086,-0.267166114,-0.395042463,0.089656364,-0.059237155,-0.064240554,-0.629726016,-1.535114328
ACH-000190,0.045829099,-0.016301031,-0.059888346,-0.183522647,0.028590983,-0.424689838,-0.024200914,-0.511942627,0.485941499,0.366232984,-0.275556004,-0.705398366
ACH-000191,0.17756598,-0.552201462,-0.599970933,-1.100340345,-0.202644393,0.022659731,-0.096289004,0.08639871,-0.569971303,0.319683961,-0.991533595,-0.597936176
ACH-000192,0.054820542,-0.252312134,0.012251005,-0.00441919,0.166496184,0.794657798,0.060975289,0.445300033,0.368274592,0.476434741,0.502717153,-0.51060722
ACH-000193,-0.191539252,-0.564184729,-0.198179062,-0.49484561,0.061824243,-0.149348035,-0.464489722,-0.124660397,-0.055848029,-0.362982027,-0.572151635,-0.491212195
ACH-000197,0.071999594,0.118770917,-0.434640346,0.031410625,0.196357157,-0.144805321,-0.299560933,-0.224515058,-0.286458286,-0.075869495,-0.932363828,-0.646748732
ACH-000198,-0.085450292,-0.942061865,0.137160912,-1.140138409,-0.699335365,0.201907138,-0.528918853,-1.289464607,-0.20094854,0.097660704,-0.728805551,-1.134829327
ACH-000201,-0.116665872,-0.449237763,-0.327543408,-0.413609593,0.020030663,0.048571154,-0.098715114,-0.558761703,0.253847888,-0.525015615,-0.797510907,-0.475893936
ACH-000202,-0.053184866,0.05716993,-0.152636405,-0.249736589,-0.064714394,-0.188180325,-0.06046883,-0.4932781,-0.034622506,0.226347535,-0.621436272,-0.822194271
ACH-000205,-0.307449733,-0.470992335,0.07617458,-0.112493051,0.085647341,0.161078878,-0.024504435,-0.05044323,0.185486649,0.015641565,-0.858692127,-0.539098201
ACH-000206,0.330980691,-0.657118956,0.145635658,-0.13808023,-0.434285876,0.358201834,0.135857603,-0.60922073,-0.581419637,-0.041942821,0.4483689,0.02816916
ACH-000207,-0.064383004,0.017863116,-0.0522474,0.045354585,0.077491142,0.138474575,0.086264246,-0.501871435,-0.173930663,0.2384147,-0.340956781,-0.20468869
ACH-000208,0.112831462,0.171455708,-0.160150484,0.27493638,0.333768021,0.322569192,0.043210343,-0.175685814,0.132075813,-0.086145865,-0.394798643,-0.622696396
ACH-000209,-0.10349187,-0.117392854,-0.051696067,-0.438747548,0.072666283,-0.116239718,-0.343408824,-0.384960343,-0.378155431,-0.167228755,-0.126475615,-0.557223454
ACH-000210,0.272735751,-0.027017362,0.222845185,0.043203472,0.115161964,0.170550334,-0.036182666,0.222557354,0.084722975,0.115339351,-0.745099523,-0.954193116
ACH-000211,0.258525369,-0.150487217,-0.018241339,-0.245247115,0.178037828,-0.134868994,0.017051049,-0.537027866,-0.165045631,0.086388334,-0.016770994,-0.269328736
ACH-000212,0.128619125,0.329625726,0.098505946,0.238439578,0.032145747,-0.389785604,-0.26285105,0.081782496,0.201040076,-0.074616223,-0.333392157,-0.519278616
ACH-000213,-0.082287284,-0.221881492,-0.243856744,-0.661063266,-0.457023033,-0.02167957,0.019048607,-1.184818097,0.368339681,0.138499229,-0.149908395,-0.785916054
ACH-000215,0.163370704,-0.24417323,-0.167500386,-0.193380255,-0.122861317,0.191784565,0.372584365,0.640141818,-0.0685897,-0.307484309,-0.345104995,-0.735933138
ACH-000217,0.002774791,0.1935404,0.723357624,0.355626348,0.523663787,0.367818705,-0.244571021,0.103105301,0.119060099,0.152795359,-1.490779141,-0.698840574
ACH-000218,-0.30297861,0.529418285,0.1452457,-0.653779857,0.153860928,-0.258913445,-0.006408554,-0.53342343,-0.383740015,-0.319013475,-0.381626397,0.147575346
ACH-000219,0.00392702,0.0386947,-0.20176533,-0.376456397,-0.025422681,0.233342942,0.021087318,-0.078875685,0.164694108,0.071073191,-0.549166428,-0.388140952
ACH-000221,0.324070775,-0.233818171,-0.429434064,0.145789989,-0.469113357,-0.302087661,-0.535173469,0.715298825,-0.621276792,0.583775138,-0.818940713,-1.009646852
ACH-000222,-0.033171282,-0.058001142,-0.508682667,-0.191440979,-0.175425547,-0.03842582,0.009188277,-0.219530907,0.04622934,0.11472457,-0.159287749,-0.471117911
ACH-000223,-0.083019681,0.068144294,0.232182,-0.093351138,0.60131228,0.235953962,-0.108034448,-0.135615766,0.02018655,0.008740091,-0.284047582,-0.275925758
ACH-000228,-0.251693941,0.157706167,-0.581415354,0.07814339,0.325354848,0.162203853,0.298086251,0.218186545,-0.18568218,-0.303599516,-0.161775562,-0.986086802
ACH-000231,0.449002107,0.132279394,-0.280857921,-0.281710346,-0.419002305,-0.321391272,0.187291167,0.296718488,0.416228007,-0.046798171,-0.755417723,-0.029424157
ACH-000232,-0.013287412,-0.082990775,0.395442598,0.178132667,-0.115659843,0.14278908,-0.282773899,-0.053836885,-0.042796071,-0.171925851,-0.241149932,-0.913742199
ACH-000233,0.175160835,-0.12892386,0.050420608,-0.101620781,0.091289576,-0.146320331,-0.480989649,-1.017487282,0.616454451,0.410853086,-0.046438139,-0.455209699
ACH-000235,0.057552084,-0.225520579,-0.293503793,-0.273978764,0.239766868,0.333123232,-0.238344117,-0.413353944,-0.343400562,-0.226786398,-0.990942882,-1.607180616
ACH-000237,0.416724642,-0.029963736,0.114697964,0.297840886,-0.302915492,-0.02754551,-0.254793653,-0.166596947,-0.19264338,-0.152417427,-1.077518323,-1.656372304
ACH-000239,0.644433004,0.207874939,-0.101761315,0.397146921,0.483343557,0.05269607,0.245764668,-0.150214162,-0.078197155,-0.627154249,-0.593700932,-0.319938124
ACH-000242,0.742221803,-0.447841841,0.29725819,-1.233904464,0.162428328,-0.094685562,0.252117901,-0.414898744,-0.606798067,-0.665993989,-0.459719287,-0.768975619
ACH-000243,-0.633461245,0.146074569,0.066548568,-0.082090027,0.127586197,-0.114574528,0.094884933,-0.447765114,0.21198965,0.02020169,-0.24393074,-0.665419377
ACH-000244,0.772137802,0.199120986,0.467043402,-0.037407924,0.294452012,-0.505264611,-0.115586936,-0.211430674,-0.069631139,0.409907813,-0.529242172,0.176569957
ACH-000248,-0.067929136,-0.104828324,0.367859721,0.543733026,-0.580783932,0.137495465,-0.44367539,-0.628692359,-0.206615152,0.086577438,0.227667726,-1.287739368
ACH-000249,0.257435364,0.080940362,-0.608553243,-0.325092895,0.089894194,0.132788038,-0.829266729,0.241059598,0.028499099,0.04876119,-0.014171068,-0.036237266
ACH-000250,-0.258786264,0.140519444,0.319706529,-0.210015359,0.065052028,-0.273171489,-0.980879252,-1.505701481,0.215227676,0.25856753,-0.173307587,-0.550668575
ACH-000252,-0.188124374,0.312125162,0.304614783,-0.265636867,-0.154980949,0.206382791,0.389572227,0.440415413,0.369696995,0.136482996,-0.14803539,-0.439560702
